fecha;id_proveedor;proveedor;prod_id;producto;proveedor_unificado;valor_ventas;cantidad_tx;ciudad
26/05/2025;3;TIGO;222;9.5GB+MIN.ILIM.+20D;TIGO;5670000;252;TUNJA
27/05/2025;3;TIGO;109;10 MIN LDI + 2 DIAS;TIGO;151200;28;BOGOTA
28/05/2025;3;TIGO;575;5 GB+MIN.ILIM+15D;TIGO;4284000;306;BOGOTA
29/05/2025;3;TIGO;101;5 MIN LDI + 1DIA;TIGO;58900;19;TUNJA
30/05/2025;3;TIGO;485;13 GB+MINILI+RDS+30D;TIGO;15307500;471;MEDELLIN
30/05/2025;3;TIGO;309;200 MB+60MIN+1DIA;TIGO;6586000;3293;BOGOTA
1/04/2025;3;TIGO;576;9 GB+MIN.ILIMI+30D;TIGO;181059500;9787;BOGOTA
1/04/2025;3;TIGO;221;3.5 GB+MIN.ILMI+10D;TIGO;18687500;1495;MEDELLIN
1/04/2025;3;TIGO;131;400 MB+MIN.ILIM+3D;TIGO;42493500;9443;MEDELLIN
1/04/2025;3;TIGO;191;1.4 GB MIN.ILIM+6D;TIGO;40380000;5384;TUNJA
1/04/2025;3;TIGO;772;7 GB+MINILIM+RDS+15D;TIGO;11970000;684;MEDELLIN
1/04/2025;3;TIGO;574;600 MB+MNILIM+RDS+5D;TIGO;37940000;7588;BOGOTA
1/04/2025;3;TIGO;487;2 GB+MIN.ILIM+RDS+7D;TIGO;37961000;4466;MEDELLIN
1/04/2025;3;TIGO;573;2 GB+MNILIM+RDS+7D;TIGO;27727500;3697;BOGOTA
1/04/2025;3;TIGO;1;TIGO;TIGO;14081789;2603;MEDELLIN
1/04/2025;3;TIGO;1415;30 GB+MNILI+APPSX30D;TIGO;550000;11;BOGOTA
1/04/2025;3;TIGO;108;30 MIN LDI O 7 DIAS;TIGO;218400;14;MEDELLIN
1/04/2025;3;TIGO;1337;18 GB+MIN ILIMI+APPS;TIGO;382500;9;BOGOTA
1/04/2025;6;COMUNICACION CELULAR SA COMCEL SA;3;CLARO;CLARO;245092000;47968;BOGOTA
1/04/2025;43;VIRGIN MOBILE RECARGAS;74;VIRGIN;VIRGIN;14077073;1246;MEDELLIN
18/06/2025;58;CLARO PAQUETES;1309;100 MB+50MIN+SMS+WPP;CLARO;765000;306;BOGOTA
19/06/2025;58;CLARO PAQUETES;695;800_MB_RDS_3D;CLARO;3514500;781;TUNJA
20/06/2025;58;CLARO PAQUETES;1300;150 MIN INTERNA+30D;CLARO;119000;17;TUNJA
24/06/2025;58;CLARO PAQUETES;694;400_MB_RDS_1D;CLARO;9072500;3629;TUNJA
25/06/2025;58;CLARO PAQUETES;696;2_GB_RDS_7D;CLARO;4515000;602;BOGOTA
