fecha,id_proveedor,proveedor,prod_id,producto,proveedor_unificado,valor_ventas,cantidad_tx
2025-05-26,3,TIGO,222,9.5GB+MIN.ILIM.+20D,TIGO,5670000,252
2025-05-27,3,TIGO,109,10 MIN LDI + 2 DIAS,TIGO,151200,28
2025-05-28,3,TIGO,575,5 GB+MIN.ILIM+15D,TIGO,4284000,306
2025-05-29,3,TIGO,101,5 MIN LDI + 1DIA,TIGO,58900,19
2025-05-30,3,TIGO,485,13 GB+MINILI+RDS+30D,TIGO,15307500,471
2025-05-30,3,TIGO,309,200 MB+60MIN+1DIA,TIGO,6586000,3293
2025-04-01,3,TIGO,576,9 GB+MIN.ILIMI+30D,TIGO,181059500,9787
2025-04-01,3,TIGO,221,3.5 GB+MIN.ILMI+10D,TIGO,18687500,1495
2025-04-01,3,TIGO,131,400 MB+MIN.ILIM+3D,TIGO,42493500,9443
2025-04-01,3,TIGO,191,1.4 GB MIN.ILIM+6D,TIGO,40380000,5384
2025-04-01,3,TIGO,772,7 GB+MINILIM+RDS+15D,TIGO,11970000,684
2025-04-01,3,TIGO,574,600 MB+MNILIM+RDS+5D,TIGO,37940000,7588
2025-04-01,3,TIGO,487,2 GB+MIN.ILIM+RDS+7D,TIGO,37961000,4466
2025-04-01,3,TIGO,573,2 GB+MNILIM+RDS+7D,TIGO,27727500,3697
2025-04-01,3,TIGO,1,TIGO,TIGO,14081789,2603
2025-04-01,3,TIGO,1415,30 GB+MNILI+APPSX30D,TIGO,550000,11
2025-04-01,3,TIGO,108,30 MIN LDI O 7 DIAS,TIGO,218400,14
2025-04-01,3,TIGO,1337,18 GB+MIN ILIMI+APPS,TIGO,382500,9
2025-04-01,6,COMUNICACION CELULAR SA COMCEL SA,3,CLARO,CLARO,245092000,47968
2025-04-01,43,VIRGIN MOBILE RECARGAS,74,VIRGIN,VIRGIN,14077073,1246
2025-06-18,58,CLARO PAQUETES,1309,100 MB+50MIN+SMS+WPP,CLARO,765000,306
2025-06-19,58,CLARO PAQUETES,695,800_MB_RDS_3D,CLARO,3514500,781
2025-06-20,58,CLARO PAQUETES,1300,150 MIN INTERNA+30D,CLARO,119000,17
2025-06-24,58,CLARO PAQUETES,694,400_MB_RDS_1D,CLARO,9072500,3629
2025-06-25,58,CLARO PAQUETES,696,2_GB_RDS_7D,CLARO,4515000,602
2025-06-26,58,CLARO PAQUETES,307,7_MIN_A_VNZLA-30D,CLARO,24000,12
2025-06-27,58,CLARO PAQUETES,1334,2 GB+MIN+SMS+7D,CLARO,2443750,575
2025-06-30,58,CLARO PAQUETES,1209,8 GB+RDS_WTF+MINILIM,CLARO,47938000,2179
2025-07-01,58,CLARO PAQUETES,762,30 GB+MINILIM+30D,CLARO,54496000,1703
2025-07-02,58,CLARO PAQUETES,1310,500 MB+MINSMSILI+RD,CLARO,477000,106
2025-07-03,58,CLARO PAQUETES,1138,300 MIN +1D,CLARO,5896000,2948
2025-07-04,58,CLARO PAQUETES,683,300 MIN.TDN+1D,CLARO,9860000,3944
2025-06-16,58,CLARO PAQUETES,615,400 MB+MINILIM+3D,CLARO,257481000,57218
2025-06-17,58,CLARO PAQUETES,1139,1.000 MIN + 20D,CLARO,10180500,617
2025-05-30,58,CLARO PAQUETES,210,WHATSAPP 15 DIAS,CLARO,389500,41
2025-05-26,58,CLARO PAQUETES,733,12 GB+MIN.ILIM._30D,CLARO,110912000,3466
2025-04-01,58,CLARO PAQUETES,619,7.5 GB+MINILIM-20D,CLARO,92092000,4186
2025-04-01,58,CLARO PAQUETES,617,2 GB_MIN ILIMT+7D,CLARO,246372500,28985
2025-04-02,58,CLARO PAQUETES,1183,50 MB+50MIN+SMS ILIM,CLARO,32502500,13001
2025-04-01,58,CLARO PAQUETES,1164,3 GB+RDS_WTF+MINILIM,CLARO,5686500,669
2025-04-01,58,CLARO PAQUETES,761,20 GB+MINILIM+15D,CLARO,15136000,688
2025-04-11,58,CLARO PAQUETES,1199,GAMING_2 GB+7D,CLARO,10754000,1132
2025-04-01,58,CLARO PAQUETES,734,18 GB/ILIMITADO_30D,CLARO,5712000,136
2025-04-01,58,CLARO PAQUETES,618,3.5 GB+MINILIM-10D,CLARO,271476000,22623
2025-04-01,58,CLARO PAQUETES,693,10_GB_MNLIM/TDN_7D,CLARO,21360000,1780
2025-04-01,58,CLARO PAQUETES,616,1.4 GB+MINLIM+RDS+6D,CLARO,318922500,42523
2025-04-01,58,CLARO PAQUETES,368,NAVEG ILIMITD_2HORAS,CLARO,247500,45
2025-04-01,58,CLARO PAQUETES,776,80 GB_MINLIM/TDO_30D,CLARO,1100000,11
2025-04-01,58,CLARO PAQUETES,211,WHATSAPP 30 DIAS,CLARO,370000,20
2025-04-01,58,CLARO PAQUETES,1289,2 BENEFICIARIOS 30D,CLARO,40500,9
2025-04-01,58,CLARO PAQUETES,319,MIN ILIMITADOS 15D,CLARO,728500,47
2025-04-01,58,CLARO PAQUETES,1387,400 MB+4 BENEFICIX3D,CLARO,159500,29
2025-04-01,58,CLARO PAQUETES,243,WAZE_24_H,CLARO,94500,63
2025-05-26,58,CLARO PAQUETES,354,30 MIN INTERNACIONAL,CLARO,70000,14
2025-05-27,58,CLARO PAQUETES,320,MIN ILIMITADOS 30D,CLARO,823500,27
2025-05-28,58,CLARO PAQUETES,240,YOUTUBE_POR_1_HORA,CLARO,14000,4
2025-05-29,58,CLARO PAQUETES,462,40_MIN_A_VNZLA-30D,CLARO,90000,9
2025-05-30,58,CLARO PAQUETES,1388,1.4 GB+4BENEFIX6DIAS,CLARO,212500,25
2025-05-30,58,CLARO PAQUETES,308,18_MIN_A_VNZLA-30D,CLARO,45000,9
2025-04-01,58,CLARO PAQUETES,241,INSTAGRAM_24_HORAS,CLARO,9000,3
2025-04-01,58,CLARO PAQUETES,353,10 MIN INTERNACIONAL,CLARO,4000,2
2025-04-01,72,VIRGIN MOBILE PAQUETES,1315,5 GB+MINI+ROLLVER+7D,VIRGIN,4200000,600
2025-04-01,72,VIRGIN MOBILE PAQUETES,941,10 GB+RDS+50SMS+30D,VIRGIN,3975000,159
2025-04-01,72,VIRGIN MOBILE PAQUETES,1324,10 GB+MINILI+RD+30D,VIRGIN,10458000,498
2025-04-01,72,VIRGIN MOBILE PAQUETES,554,30 GB+MIN/RDSILM+30D,VIRGIN,1696000,53
2025-04-01,72,VIRGIN MOBILE PAQUETES,349,500MB_3D,VIRGIN,80000,20
2025-05-30,72,VIRGIN MOBILE PAQUETES,1306,1.5 GB+MINIL+7SMS+RD,VIRGIN,1372000,98
2025-05-26,72,VIRGIN MOBILE PAQUETES,1304,4 GB+MIN IL+SMS+RD,VIRGIN,550000,50
2025-05-27,72,VIRGIN MOBILE PAQUETES,1303,500 MB+MINIL+3SMS+RD,VIRGIN,1272000,318
2025-05-28,72,VIRGIN MOBILE PAQUETES,347,WSP ILIMITADO_7D,VIRGIN,145000,29
2025-05-26,72,VIRGIN MOBILE PAQUETES,673,1500 MIN TON X 30D,VIRGIN,50000,2
2025-05-27,72,VIRGIN MOBILE PAQUETES,669,7 GB X 30 DIAS,VIRGIN,242000,11
2025-04-01,72,VIRGIN MOBILE PAQUETES,466,40 GB+MIN/RDSILM+30D,VIRGIN,240000,6
2025-04-01,72,VIRGIN MOBILE PAQUETES,942,40 GB+RDS+50SMS+30D,VIRGIN,60000,1
2025-04-01,72,VIRGIN MOBILE PAQUETES,1305,5 GB+MINIL+15 SMS+RD,VIRGIN,256000,16
2025-04-01,72,VIRGIN MOBILE PAQUETES,350,2GB_7D,VIRGIN,30000,5
2025-04-01,72,VIRGIN MOBILE PAQUETES,1132,250MB+100SMS+180D,VIRGIN,240000,8
2025-04-01,72,VIRGIN MOBILE PAQUETES,348,50 MINUTOS TDN X 1D,VIRGIN,9000,9
2025-04-01,72,VIRGIN MOBILE PAQUETES,671,200 MIN TON X 7D,VIRGIN,6000,1
2025-04-01,72,VIRGIN MOBILE PAQUETES,1433,WAZE X 1 DIA,VIRGIN,1000,1
2025-04-01,72,VIRGIN MOBILE PAQUETES,1323,250 MB+100SMS+GPS,VIRGIN,60000,1
2025-04-01,72,VIRGIN MOBILE PAQUETES,672,800 MIN TON X 30D,VIRGIN,12000,1
2025-04-01,72,VIRGIN MOBILE PAQUETES,1308,10 MINUTOS VENEZUELA,VIRGIN,9000,2
2025-04-01,100,TIGO RECARGAS,1168,RECARGA TIGO,TIGO,34369183,4081
